SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","53","West Shore Educational Service District","53901","Gateway To Success Academy","02706","Gateway To Success Academy","PSA School","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64040","Hart Public School District","00000","Administrative Unit","Administrative Unit","Town: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64040","Hart Public School District","09896","Diman-Wolf Early Childhood Center","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64040","Hart Public School District","01596","Hart High School","LEA School","Town: Distant","387","180","207","2","0","0","149","0","231","5","0","0","0","0","0","0","0","0","0","113","103","93","78","199","37","64"
"15 - 16 School Year","53","West Shore Educational Service District","64040","Hart Public School District","01597","Hart Middle School","LEA School","Town: Distant","399","197","202","0","0","2","179","0","213","5","0","0","0","0","0","106","100","93","100","0","0","0","0","252","50","87"
"15 - 16 School Year","53","West Shore Educational Service District","64040","Hart Public School District","03566","Spitler Elementary School","LEA School","Town: Distant","549","296","253","2","0","4","254","0","277","12","123","103","124","96","103","0","0","0","0","0","0","0","0","374","89","165"
"15 - 16 School Year","53","West Shore Educational Service District","53040","Ludington Area School District","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53040","Ludington Area School District","01275","Foster School","LEA School","Town: Remote","502","257","245","2","8","11","43","0","405","33","0","0","0","195","158","149","0","0","0","0","0","0","0","283","77","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53040","Ludington Area School District","01301","Franklin Elementary School","LEA School","Town: Remote","265","134","131","1","5","4","26","0","226","3","95","95","75","0","0","0","0","0","0","0","0","0","0","131","30","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53040","Ludington Area School District","02109","Lakeview Elementary School","LEA School","Town: Remote","215","108","107","3","1","5","23","0","176","7","71","71","73","0","0","0","0","0","0","0","0","0","0","138","25","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53040","Ludington Area School District","02279","Ludington High School","LEA School","Town: Remote","710","361","349","4","4","12","72","0","588","30","0","0","0","0","0","0","0","0","0","190","167","180","173","260","99","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53040","Ludington Area School District","02792","O.J. DeJonge Middle School","LEA School","Town: Remote","485","236","249","3","4","5","48","0","395","30","0","0","0","0","0","0","160","171","154","0","0","0","0","212","74","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53040","Ludington Area School District","03008","Pere Marquette Early Childhood Center","LEA Unique Education Provider","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53010","Mason County Central Schools","01355","Academy of Science Math and Technology Early College High School","LEA School","Rural: Fringe","46","17","29","0","1","0","1","0","43","1","0","0","0","0","0","0","0","0","0","0","0","1","45","9","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53010","Mason County Central Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53010","Mason County Central Schools","02424","Mason County Central H.S.","LEA School","Rural: Distant","402","217","185","5","0","8","22","0","363","4","0","0","0","0","0","0","0","0","0","112","83","105","102","175","52","10"
"15 - 16 School Year","53","West Shore Educational Service District","53010","Mason County Central Schools","02423","Mason County Central M.S.","LEA School","Rural: Distant","285","159","126","1","2","6","27","0","244","5","0","0","0","0","0","0","101","95","89","0","0","0","0","162","35","12"
"15 - 16 School Year","53","West Shore Educational Service District","53010","Mason County Central Schools","09762","Mason County Central Upper Elementary","LEA School","Rural: Distant","297","165","132","0","1","0","28","0","261","7","0","0","0","109","87","101","0","0","0","0","0","0","0","199","53","11"
"15 - 16 School Year","53","West Shore Educational Service District","53010","Mason County Central Schools","03426","Scottville Elementary School","LEA School","Rural: Distant","274","133","141","0","1","1","23","0","235","14","91","84","99","0","0","0","0","0","0","0","0","0","0","183","34","12"
"15 - 16 School Year","53","West Shore Educational Service District","53010","Mason County Central Schools","09426","Victory Early Childhood Center","LEA Unique Education Provider","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53020","Mason County Eastern Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53020","Mason County Eastern Schools","00855","Mason County Eastern Elem. Sch.","LEA School","Rural: Distant","244","124","120","1","1","9","9","0","221","3","27","39","31","43","28","36","40","0","0","0","0","0","0","170","36","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53020","Mason County Eastern Schools","01045","Mason County Eastern Junior High/High School","LEA School","Rural: Distant","217","109","108","1","4","1","10","0","188","13","0","0","0","0","0","0","0","37","33","31","42","46","28","141","28","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64070","Pentwater Public School District","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64070","Pentwater Public School District","03004","Pentwater Public School","LEA School","Rural: Distant","269","133","136","1","0","1","19","0","234","14","23","18","20","25","20","24","17","22","23","23","22","18","14","128","48","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64080","Shelby Public Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64080","Shelby Public Schools","09895","Early Childhood Center","LEA Unique Education Provider","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64080","Shelby Public Schools","02681","New Era Elementary School","LEA School","Rural: Distant","207","121","86","1","0","2","90","0","111","3","0","0","0","0","104","103","0","0","0","0","0","0","0","175","40","61"
"15 - 16 School Year","53","West Shore Educational Service District","64080","Shelby Public Schools","03454","Shelby High School","LEA School","Rural: Distant","413","209","204","3","0","2","142","1","262","3","0","0","0","0","0","0","0","0","0","95","112","97","108","306","57","83"
"15 - 16 School Year","53","West Shore Educational Service District","64080","Shelby Public Schools","03455","Shelby Middle School","LEA School","Rural: Distant","329","176","153","0","0","5","137","0","180","7","0","0","0","0","0","0","125","99","105","0","0","0","0","257","51","97"
"15 - 16 School Year","53","West Shore Educational Service District","64080","Shelby Public Schools","04170","Thomas Read Elementary School","LEA School","Rural: Distant","387","183","204","1","0","3","165","0","207","11","99","92","90","106","0","0","0","0","0","0","0","0","0","325","47","120"
"15 - 16 School Year","53","West Shore Educational Service District","64090","Walkerville Public Schools","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","64090","Walkerville Public Schools","04336","Walkerville Public School","LEA School","Rural: Remote","290","139","151","4","0","1","98","0","182","5","28","21","24","21","23","24","18","30","18","23","27","18","15","263","57","59"
"15 - 16 School Year","53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","08874","Developmental Classrooms","ISD School","Rural: Fringe","118","77","41","0","0","6","17","0","94","1","4","5","5","14","9","5","5","5","8","4","4","7","3","83","118","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","00678","Early Childhood","ISD School","Town: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","02619","Early Childhood Programs-WSESD","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","02621","Early On-WSESD","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","00080","Student Services","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","09884","West Shore ESD Career Tech Center","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","07271","Cadillac Innovation High School","LEA School","Town: Remote","141","66","75","2","0","0","6","1","125","7","0","0","0","0","0","0","0","0","0","31","44","32","34","78","<10","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","00487","Cadillac Junior High School","LEA School","Town: Remote","441","216","225","0","6","4","10","2","410","9","0","0","0","0","0","0","0","214","227","0","0","0","0","221","52","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","00488","Cadillac Senior High School","LEA School","Town: Remote","829","397","432","6","5","5","25","2","764","22","0","0","0","0","0","0","0","0","0","240","241","181","167","320","104","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","05101","Forest View Elementary School","LEA School","Rural: Distant","270","131","139","0","0","0","9","4","252","5","62","54","53","54","47","0","0","0","0","0","0","0","0","135","32","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","01307","Franklin Elementary School","LEA School","Town: Remote","422","226","196","4","4","2","11","0","393","8","112","73","82","80","75","0","0","0","0","0","0","0","0","251","43","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","02024","Kenwood Elementary School","LEA School","Town: Remote","312","148","164","0","2","3","9","1","287","10","70","52","63","63","64","0","0","0","0","0","0","0","0","218","42","<10"
"15 - 16 School Year","83","Wexford-Missaukee ISD","83010","Cadillac Area Public Schools","02210","Lincoln Elementary School","LEA School","Town: Remote","245","113","132","3","1","2","13","0","221","5","61","50","44","54","36","0","0","0","0","0","0","0","0","159","33","<10"
